Polish,English
w,In
na,on
i,and
z,With
się,myself
do,down
że,That
nie,NO
to,this
jest,Is
o,about
W,IN
a,and
dla,For
od,From
po,after
roku,year
przez,By
tym,this
za,for
Jak,How
ma,has
są,are
oraz,and
będzie,will be
ale,But
co,What
które,which
już,Already
tego,this
też,Too
ze,That
także,too
Na,On
To,This
który,which
czy,Whether
może,Maybe
jego,his
Jak,How
być,to be
przed,Before
tylko,Just
ich,their
pod,under
lat,years
zł,zloty
również,also
Jednak,But
tej,this one
był,was
jej,her
Nie,NO
bardzo,Very
która,which
przy,by
został,he was left
było,was
tak,Yes
lub,or
2024,2024
by,by
r.,r.
można,you can
będą,they will be
jeszcze,still
osób,people
podczas,while
proc.,percent
bo,because
Polski,Polish
go,him
Polsce,Poland
miał,had
była,was
aby,To
ten,this
Z,WITH
po,after
mogą,they can
jako,as
którzy,who
ponad,above
sobie,myself
którym,which
miejsce,place
nawet,even
nad,over
we,in
mają,May
nich,them
Co,What
tys.,thousand
Do,Down
gdzie,Where
niż,than
tych,those
2023,2023
czas,time
gdy,When
te,these
których,which
pracy,work
powiedział,he said
m.in.,among others
sprawie,on the matter
miejscu,in place
osoby,people
kilka,several
doszło,it happened
mln,million
więc,So
dni,days
bez,without
dwóch,two
kraju,country
wiele,many
więcej,more
nim,him
a,and
między,between
mu,him
Czy,If
została,she was
były,were
uwagę,attention
wielu,many
mówi,says
dwa,two
raz,once
O,ABOUT
Od,From
Ukrainy,Ukraine
Według,According to
dzieci,kids
nas,us
właśnie,Exactly
teraz,Now
I,AND
ją,I
życia,life
kiedy,When
tam,there
wcześniej,before
której,which
on,he
swoje,own
Tak,Yes
czasie,time
trzeba,it's necessary to
1,1
później,Later
temu,ago
żeby,To
Jest,Is
PiS,PIS
bardziej,more
innych,others
sposób,way
2,2
je,it is
miejsca,places
pierwszy,first
złotych,gold
często,often
życie,life
10,10
Polska,Poland
lata,years
miasta,cities
swojej,your own
u,at
udział,participation
czyli,That is
dnia,day
mówił,he spoke
rok,year
stanie,I will be able to
wszystko,All
trzy,Three
zawsze,Always
zostanie,will be
zostało,it was left
czerwca,June
domu,home
jeden,one
siebie,myself
USA,USA
dziś,today
latach,years
około,about
niej,her
prezydenta,the president
wszystkim,to all
związku,relationship
dzień,Day
mieszkańców,residents
razem,Together
5,5
Jeśli,If
czwartek,Thursday
piątek,Friday
poinformował,he informed
przypadku,case
ta,this one
takie,such
3,3
Ale,But
jeśli,If
niego,him
poniedziałek,Monday
ponieważ,Because
swoich,their own
warto,it's worth it
aż,until
cały,whole
innymi,others
kolei,railway
ok.,ok.
sytuacji,situation
tę,these
Dla,For
euro,euro
obecnie,Currently
ramach,within
terenie,in the area
wszystkie,all
meczu,match
strony,pages
tysięcy,thousands
30,30
czasu,time
działania,Actions
mnie,me
nowych,new
swoją,your own
wtorek,Tuesday
dwie,two
Mieć,To have
niedzielę,Sunday
one,they
takich,such
temat,topic
wypadku,accident
zostały,They were
środę,Wednesday
12,12
II,II
maja,May
mi,me
nam,us
ul.,st.
20,20
celu,purpose
coś,something
dobrze,All right
firmy,companies
jedynie,only
natomiast,whereas
początku,the beginning
tu,here
wynika,results
100,100
części,parts
decyzji,decision
drugiej,the second
kolejne,next
którego,whose
miała,she had
Jednak,But
historii,history
jednym,one
koniec,end
ludzi,people
mężczyzna,man
oryginalny,original
prezydent,president
siê,myself
stycznia,January
tzw.,so-called
wieku,century
wobec,to
śmierci,death
15,15
Już,Already
godz.,time.
musi,has to
należy,you should
swoim,his own
wszystkich,all
wtedy,then
Teraz,Now
ciągu,during
cztery,four
lipca,July
przeciwko,against
świata,the world
2022,2022
Materiał,Material
Podczas,While
Rosji,Russia
kolejny,next
nowe,new
ona,She
policji,police
razie,now
stronie,page
udało,I made it
zrobić,to do
Za,For
chwili,moment
każdy,everyone
mediach,media
np.,e.g.
oznacza,means
pierwszej,first
samym,alone
25,25
chce,I want
informacji,information
nadal,still
policja,Police
sam,alone
swojego,his own
swój,your
szpitala,hospital
Jego,His
bezpieczeństwa,safety
byli,They were
ceny,prices
choć,although
czego,what
czym,what
danych,data
dużo,A lot
jakie,What
kwietnia,April
mógł,could
nią,her
pierwszym,the first
prawie,almost
spotkania,meetings
zostać,to stay
18,18
Andrzej,Andrew
Dzięki,Thanks
Polaków,Poles
ani,or
Bowiem,Because
inne,other
którą,which
lutego,February
miejscowości,localities
najbardziej,the most
naprawdę,Really
pierwszego,the first
polskich,Polish
powinien,should
powodu,because
prawo,law
rynku,market
szybko,Quick
zdrowia,health
zmiany,changes
7,7
akcji,shares
dodaje,he adds
dopiero,only
drodze,on the road
im,them
kilku,a few
mamy,We have
miały,They had
nowy,new
pieniądze,money
wody,water
wszyscy,all
względu,because
wśród,among
Gdy,When
Policji,Police
Rady,Advice
blisko,close
coraz,more and more
decyzję,decision
dodał,he added
kobiety,women
mld,billion
momencie,moment
nic,nothing
przede,first of all
społecznościowych,social
służby,services
trzech,three
większość,majority
wraz,together
wyborach,elections
wyborów,elections
zdarzenia,events
14,14
4,4
Choć,Although
Kiedy,When
NATO,NATO
kto,Who
miesięcy,months
mieszkańcy,residents
możemy,We can
naszych,ours
niemal,almost
pierwsze,first
poinformowała,she informed
potem,then
prezes,president
prowadzi,it leads
11,11
albo,or
dane,data
film,movie
gry,games
informacje,information
informuje,informs
jednego,one
kierunku,direction
miało,It had
Muszą,They have to
ostatnich,last
polskiej,Polish
różnych,different
spraw,matters
stwierdził,he stated
tyle,so much
zostali,They stayed
Duda,Duda
Europejskiej,European
Michał,Michael
Sejmu,The Sejm
Ten,This
mniej,less
pracowników,employees
premier,prime minister
przekazał,he passed on
rodziny,family
szef,boss
ustawy,laws
wartości,values
września,September
wyniku,result
zarówno,both
Europy,Europe
Krakowie,Krakow
Mężczyzna,Man
alkoholu,alcohol
chodzi,goes
dotyczące,regarding
grudnia,December
grupy,groups
końca,the end
miasto,city
możliwości,possibilities
naszego,our
ostatnie,last
pomoc,help
pomocy,Help
portal,portal
prawa,laws
projektu,project
rozmowie,conversation
rząd,government
Sytuacja,Situation
wciąż,still
wiadomo,it is known
wynik,result
świecie,the world
19,19
Policjanci,Policemen
Są,Are
The,The
Warto,It's worth it
centrum,center
dlatego,Which is why
dzisiaj,Today
długo,long
grozi,is threatening
konferencji,conference
marca,March
miejsc,places
oczywiście,Of course
prac,wash
pytanie,question
sieci,networks
sobotę,Saturday
turnieju,tournament
wysokości,height
Donald,Donald
Krzysztof,Christopher
prezydent,president
Przed,Before
Tusk,Tusk
Unii,Union
broni,Weapons
czytamy,we read
dziecko,kid
dzięki,Thanks
ja,I
jaki,What
kolejnych,next
nowego,new
okazji,occasion
okresie,period
poprzez,by
poziomie,level
projekt,design
prostu,just
ruchu,movement
samochód,car
wolności,freedom
znów,again
16,16
2025,2025
Jej,Her
Kto,Who
Obecnie,Currently
Tym,This
Wśród,Among
Zobacz,Look
będziemy,we will be
całej,all over
część,Hi
dniach,days
ile,How many
komunikacie,announcement
końcu,at the end
pan,you
powinny,they should
punktów,points
razy,times
rządu,government
stanu,state
uczniów,students
widać,can be seen
wynosi,totals
wówczas,then
władze,authorities
zdaniem,in my opinion
znacznie,much
Łodzi,Lodz
17,17
Był,Was
Dzień,Day
Nowe,New
Policja,Police
Szef,Boss
Tomasz,Thomas
UE,EU
Ukrainie,Ukraine
ataku,attack
liczba,number
liczyć,to count
ludzie,People
mecz,game
mieli,they had
milionów,million
minut,minutes
my,we
naszym,ours
nocy,night
odbędzie,will take place
pani,you
października,October
podaje,I give
podała,she gave
